#: table_doi: 10.17182/hepdata.156978.v2/t6
#: name: Figure 7
#: description: Numerical data for $K^0_S$ $y$-$p_T$ spectrum from Figure 7.
#: data_file: figure_7.yaml
#: keyword observables: d$^{2}n$/d$y$d$p_{T}$
$y$,$y$ LOW,$y$ HIGH,$p_T$ [GeV/c],$p_T$ [GeV/c] LOW,$p_T$ [GeV/c] HIGH,d$^{2}n$/d$y$d$p_{T}$ [(GeV/c)$^{-1}$],statistical uncertainty +,statistical uncertainty -,systematic uncertainty +,systematic uncertainty -
-1.25,-1.5,-1.0,1.05,0.9,1.2,0.28719,0.04393,-0.04393,0.16909,-0.16909
-1.25,-1.5,-1.0,1.35,1.2,1.5,0.13336,0.022565,-0.022565,0.13916,-0.13916
-1.25,-1.5,-1.0,1.65,1.5,1.8,0.020733,0.0078843,-0.0078843,0.022867,-0.022867
-1.25,-1.5,-1.0,1.9500000000000002,1.8,2.1,0.0048949,0.0030858,-0.0030858,0.010566,-0.010566
-0.75,-1.0,-0.5,0.15,0.0,0.3,1.6828,0.077537,-0.077537,0.26235,-0.26235
-0.75,-1.0,-0.5,0.44999999999999996,0.3,0.6,2.8396,0.073316,-0.073316,0.23617,-0.23617
-0.75,-1.0,-0.5,0.75,0.6,0.9,1.5444,0.033666,-0.033666,0.075576,-0.075576
-0.75,-1.0,-0.5,1.05,0.9,1.2,0.60911,0.020174,-0.020174,0.045422,-0.045422
-0.75,-1.0,-0.5,1.35,1.2,1.5,0.2183,0.013456,-0.013456,0.028325,-0.028325
-0.75,-1.0,-0.5,1.65,1.5,1.8,0.063758,0.0079619,-0.0079619,0.0068187,-0.0068187
-0.75,-1.0,-0.5,1.9500000000000002,1.8,2.1,0.013957,0.0031764,-0.0031764,0.0033165,-0.0033165
-0.75,-1.0,-0.5,2.25,2.1,2.4,0.009065,0.004897,-0.004897,0.0082068,-0.0082068
-0.25,-0.5,0.0,0.15,0.0,0.3,2.0588,0.063773,-0.063773,0.23895,-0.23895
