species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,4.908600e+04,1.090800e+00,4.923413e-03
Kplus,0.1000,0.2000,0.1500,1.301960e+05,2.893244e+00,8.018374e-03
Kplus,0.2000,0.3000,0.2500,1.683340e+05,3.740756e+00,9.117450e-03
Kplus,0.3000,0.4000,0.3500,1.659990e+05,3.688867e+00,9.053994e-03
Kplus,0.4000,0.5000,0.4500,1.363480e+05,3.029956e+00,8.205629e-03
Kplus,0.5000,0.6000,0.5500,9.941400e+04,2.209200e+00,7.006663e-03
Kplus,0.6000,0.7000,0.6500,6.675100e+04,1.483356e+00,5.741381e-03
Kplus,0.7000,0.8000,0.7500,4.319100e+04,9.598000e-01,4.618321e-03
Kplus,0.8000,0.9000,0.8500,2.630100e+04,5.844667e-01,3.603907e-03
Kplus,0.9000,1.0000,0.9500,1.590400e+04,3.534222e-01,2.802468e-03
Kplus,1.0000,1.1000,1.0500,9.194000e+03,2.043111e-01,2.130786e-03
Kplus,1.1000,1.2000,1.1500,5.253000e+03,1.167333e-01,1.610613e-03
Kplus,1.2000,1.3000,1.2500,2.991000e+03,6.646667e-02,1.215334e-03
Kplus,1.3000,1.4000,1.3500,1.678000e+03,3.728889e-02,9.102977e-04
Kplus,1.4000,1.5000,1.4500,9.090000e+02,2.020000e-02,6.699917e-04
Kplus,1.5000,1.6000,1.5500,5.190000e+02,1.153333e-02,5.062571e-04
Kplus,1.6000,1.7000,1.6500,2.380000e+02,5.288889e-03,3.428277e-04
Kplus,1.7000,1.8000,1.7500,1.460000e+02,3.244444e-03,2.685121e-04
Kplus,1.8000,1.9000,1.8500,7.700000e+01,1.711111e-03,1.949992e-04
Kplus,1.9000,2.0000,1.9500,4.300000e+01,9.555556e-04,1.457209e-04
Kplus,2.0000,2.1000,2.0500,1.700000e+01,3.777778e-04,9.162457e-05
Kplus,2.1000,2.2000,2.1500,5.000000e+00,1.111111e-04,4.969040e-05
Kplus,2.2000,2.3000,2.2500,7.000000e+00,1.555556e-04,5.879447e-05
Kplus,2.3000,2.4000,2.3500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.4000,2.5000,2.4500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,0.0000,0.1000,0.0500,3.006000e+03,6.680000e-02,1.218378e-03
Kminus,0.1000,0.2000,0.1500,7.967000e+03,1.770444e-01,1.983512e-03
Kminus,0.2000,0.3000,0.2500,1.037400e+04,2.305333e-01,2.263396e-03
Kminus,0.3000,0.4000,0.3500,1.020800e+04,2.268444e-01,2.245214e-03
Kminus,0.4000,0.5000,0.4500,8.312000e+03,1.847111e-01,2.026004e-03
Kminus,0.5000,0.6000,0.5500,5.793000e+03,1.287333e-01,1.691372e-03
Kminus,0.6000,0.7000,0.6500,3.687000e+03,8.193333e-02,1.349348e-03
Kminus,0.7000,0.8000,0.7500,2.242000e+03,4.982222e-02,1.052217e-03
Kminus,0.8000,0.9000,0.8500,1.409000e+03,3.131111e-02,8.341478e-04
Kminus,0.9000,1.0000,0.9500,8.550000e+02,1.900000e-02,6.497863e-04
Kminus,1.0000,1.1000,1.0500,5.280000e+02,1.173333e-02,5.106278e-04
Kminus,1.1000,1.2000,1.1500,2.990000e+02,6.644444e-03,3.842581e-04
Kminus,1.2000,1.3000,1.2500,1.530000e+02,3.400000e-03,2.748737e-04
Kminus,1.3000,1.4000,1.3500,8.700000e+01,1.933333e-03,2.072751e-04
Kminus,1.4000,1.5000,1.4500,4.900000e+01,1.088889e-03,1.555556e-04
Kminus,1.5000,1.6000,1.5500,1.300000e+01,2.888889e-04,8.012336e-05
Kminus,1.6000,1.7000,1.6500,1.700000e+01,3.777778e-04,9.162457e-05
Kminus,1.7000,1.8000,1.7500,7.000000e+00,1.555556e-04,5.879447e-05
Kminus,1.8000,1.9000,1.8500,8.000000e+00,1.777778e-04,6.285394e-05
Kminus,1.9000,2.0000,1.9500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,2.0000,2.1000,2.0500,1.000000e+00,2.222222e-05,2.222222e-05
Kminus,2.1000,2.2000,2.1500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,2.2000,2.3000,2.2500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,2.3000,2.4000,2.3500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,2.4000,2.5000,2.4500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,0.0000,0.1000,0.0500,2.780900e+04,6.179778e-01,2.620385e-03
K0S,0.1000,0.2000,0.1500,7.365450e+04,1.636767e+00,4.264539e-03
K0S,0.2000,0.3000,0.2500,9.652850e+04,2.145078e+00,4.882028e-03
K0S,0.3000,0.4000,0.3500,9.463050e+04,2.102900e+00,4.833793e-03
K0S,0.4000,0.5000,0.4500,7.770500e+04,1.726778e+00,4.380231e-03
K0S,0.5000,0.6000,0.5500,5.646300e+04,1.254733e+00,3.733829e-03
K0S,0.6000,0.7000,0.6500,3.806700e+04,8.459333e-01,3.065821e-03
K0S,0.7000,0.8000,0.7500,2.458200e+04,5.462667e-01,2.463662e-03
K0S,0.8000,0.9000,0.8500,1.499400e+04,3.332000e-01,1.924116e-03
K0S,0.9000,1.0000,0.9500,9.090500e+03,2.020111e-01,1.498188e-03
K0S,1.0000,1.1000,1.0500,5.319000e+03,1.182000e-01,1.146008e-03
K0S,1.1000,1.2000,1.1500,3.076500e+03,6.836667e-02,8.715673e-04
K0S,1.2000,1.3000,1.2500,1.736500e+03,3.858889e-02,6.548018e-04
K0S,1.3000,1.4000,1.3500,9.380000e+02,2.084444e-02,4.812535e-04
K0S,1.4000,1.5000,1.4500,4.970000e+02,1.104444e-02,3.503085e-04
K0S,1.5000,1.6000,1.5500,2.845000e+02,6.322222e-03,2.650413e-04
K0S,1.6000,1.7000,1.6500,1.425000e+02,3.166667e-03,1.875771e-04
K0S,1.7000,1.8000,1.7500,9.200000e+01,2.044444e-03,1.507184e-04
K0S,1.8000,1.9000,1.8500,4.500000e+01,1.000000e-03,1.054093e-04
K0S,1.9000,2.0000,1.9500,1.850000e+01,4.111111e-04,6.758625e-05
K0S,2.0000,2.1000,2.0500,9.000000e+00,2.000000e-04,4.714045e-05
K0S,2.1000,2.2000,2.1500,8.500000e+00,1.888889e-04,4.581228e-05
K0S,2.2000,2.3000,2.2500,1.500000e+00,3.333333e-05,1.924501e-05
K0S,2.3000,2.4000,2.3500,1.000000e+00,2.222222e-05,1.571348e-05
K0S,2.4000,2.5000,2.4500,0.000000e+00,0.000000e+00,0.000000e+00
