species,y_lo,y_hi,y_center,counts,value,error
Kplus,-3.0000,-2.9143,-2.9571,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.9143,-2.8286,-2.8714,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.8286,-2.7429,-2.7857,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.7429,-2.6571,-2.7000,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.6571,-2.5714,-2.6143,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.5714,-2.4857,-2.5286,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.4857,-2.4000,-2.4429,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.4000,-2.3143,-2.3571,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.3143,-2.2286,-2.2714,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.2286,-2.1429,-2.1857,1.000000e+00,2.592593e-05,2.592593e-05
Kplus,-2.1429,-2.0571,-2.1000,3.000000e+00,7.777778e-05,4.490502e-05
Kplus,-2.0571,-1.9714,-2.0143,7.000000e+00,1.814815e-04,6.859355e-05
Kplus,-1.9714,-1.8857,-1.9286,1.300000e+01,3.370370e-04,9.347726e-05
Kplus,-1.8857,-1.8000,-1.8429,4.300000e+01,1.114815e-03,1.700077e-04
Kplus,-1.8000,-1.7143,-1.7571,9.600000e+01,2.488889e-03,2.540212e-04
Kplus,-1.7143,-1.6286,-1.6714,2.450000e+02,6.351852e-03,4.058049e-04
Kplus,-1.6286,-1.5429,-1.5857,3.810000e+02,9.877778e-03,5.060539e-04
Kplus,-1.5429,-1.4571,-1.5000,8.150000e+02,2.112963e-02,7.401386e-04
Kplus,-1.4571,-1.3714,-1.4143,1.506000e+03,3.904444e-02,1.006113e-03
Kplus,-1.3714,-1.2857,-1.3286,2.556000e+03,6.626667e-02,1.310734e-03
Kplus,-1.2857,-1.2000,-1.2429,4.006000e+03,1.038593e-01,1.640929e-03
Kplus,-1.2000,-1.1143,-1.1571,6.403000e+03,1.660037e-01,2.074560e-03
Kplus,-1.1143,-1.0286,-1.0714,9.194000e+03,2.383630e-01,2.485916e-03
Kplus,-1.0286,-0.9429,-0.9857,1.297300e+04,3.363370e-01,2.952939e-03
Kplus,-0.9429,-0.8571,-0.9000,1.784700e+04,4.627000e-01,3.463514e-03
Kplus,-0.8571,-0.7714,-0.8143,2.301600e+04,5.967111e-01,3.933229e-03
Kplus,-0.7714,-0.6857,-0.7286,2.935400e+04,7.610296e-01,4.441891e-03
Kplus,-0.6857,-0.6000,-0.6429,3.586000e+04,9.297037e-01,4.909524e-03
Kplus,-0.6000,-0.5143,-0.5571,4.128700e+04,1.070404e+00,5.267941e-03
Kplus,-0.5143,-0.4286,-0.4714,4.729200e+04,1.226089e+00,5.638040e-03
Kplus,-0.4286,-0.3429,-0.3857,5.233000e+04,1.356704e+00,5.930750e-03
Kplus,-0.3429,-0.2571,-0.3000,5.560100e+04,1.441507e+00,6.113298e-03
Kplus,-0.2571,-0.1714,-0.2143,5.819900e+04,1.508863e+00,6.254492e-03
Kplus,-0.1714,-0.0857,-0.1286,6.017700e+04,1.560144e+00,6.359889e-03
Kplus,-0.0857,0.0000,-0.0429,6.089600e+04,1.578785e+00,6.397771e-03
Kplus,0.0000,0.0857,0.0429,5.949600e+04,1.542489e+00,6.323800e-03
Kplus,0.0857,0.1714,0.1286,5.731000e+04,1.485815e+00,6.206539e-03
Kplus,0.1714,0.2571,0.2143,5.492100e+04,1.423878e+00,6.075800e-03
Kplus,0.2571,0.3429,0.3000,5.150800e+04,1.335393e+00,5.883986e-03
Kplus,0.3429,0.4286,0.3857,4.613700e+04,1.196144e+00,5.568766e-03
Kplus,0.4286,0.5143,0.4714,4.020200e+04,1.042274e+00,5.198261e-03
Kplus,0.5143,0.6000,0.5571,3.380200e+04,8.763481e-01,4.766565e-03
Kplus,0.6000,0.6857,0.6429,2.874400e+04,7.452148e-01,4.395496e-03
Kplus,0.6857,0.7714,0.7286,2.281200e+04,5.914222e-01,3.915759e-03
Kplus,0.7714,0.8571,0.8143,1.765400e+04,4.576963e-01,3.444735e-03
Kplus,0.8571,0.9429,0.9000,1.278000e+04,3.313333e-01,2.930891e-03
Kplus,0.9429,1.0286,0.9857,8.999000e+03,2.333074e-01,2.459413e-03
Kplus,1.0286,1.1143,1.0714,6.172000e+03,1.600148e-01,2.036795e-03
Kplus,1.1143,1.2000,1.1571,4.227000e+03,1.095889e-01,1.685584e-03
Kplus,1.2000,1.2857,1.2429,2.674000e+03,6.932593e-02,1.340649e-03
Kplus,1.2857,1.3714,1.3286,1.613000e+03,4.181852e-02,1.041241e-03
Kplus,1.3714,1.4571,1.4143,8.530000e+02,2.211481e-02,7.571968e-04
Kplus,1.4571,1.5429,1.5000,5.130000e+02,1.330000e-02,5.872093e-04
Kplus,1.5429,1.6286,1.5857,2.510000e+02,6.507407e-03,4.107439e-04
Kplus,1.6286,1.7143,1.6714,1.100000e+02,2.851852e-03,2.719134e-04
Kplus,1.7143,1.8000,1.7571,4.900000e+01,1.270370e-03,1.814815e-04
Kplus,1.8000,1.8857,1.8429,2.200000e+01,5.703704e-04,1.216034e-04
Kplus,1.8857,1.9714,1.9286,6.000000e+00,1.555556e-04,6.350529e-05
Kplus,1.9714,2.0571,2.0143,2.000000e+00,5.185185e-05,3.666480e-05
Kplus,2.0571,2.1429,2.1000,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.1429,2.2286,2.1857,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.2286,2.3143,2.2714,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.3143,2.4000,2.3571,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.4000,2.4857,2.4429,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.4857,2.5714,2.5286,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.5714,2.6571,2.6143,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.6571,2.7429,2.7000,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.7429,2.8286,2.7857,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.8286,2.9143,2.8714,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.9143,3.0000,2.9571,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-3.0000,-2.9143,-2.9571,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.9143,-2.8286,-2.8714,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.8286,-2.7429,-2.7857,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.7429,-2.6571,-2.7000,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.6571,-2.5714,-2.6143,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.5714,-2.4857,-2.5286,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.4857,-2.4000,-2.4429,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.4000,-2.3143,-2.3571,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.3143,-2.2286,-2.2714,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.2286,-2.1429,-2.1857,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.1429,-2.0571,-2.1000,1.000000e+00,2.592593e-05,2.592593e-05
Kminus,-2.0571,-1.9714,-2.0143,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-1.9714,-1.8857,-1.9286,2.000000e+00,5.185185e-05,3.666480e-05
Kminus,-1.8857,-1.8000,-1.8429,1.000000e+00,2.592593e-05,2.592593e-05
Kminus,-1.8000,-1.7143,-1.7571,6.000000e+00,1.555556e-04,6.350529e-05
Kminus,-1.7143,-1.6286,-1.6714,1.700000e+01,4.407407e-04,1.068953e-04
Kminus,-1.6286,-1.5429,-1.5857,2.500000e+01,6.481481e-04,1.296296e-04
Kminus,-1.5429,-1.4571,-1.5000,5.100000e+01,1.322222e-03,1.851481e-04
Kminus,-1.4571,-1.3714,-1.4143,9.700000e+01,2.514815e-03,2.553408e-04
Kminus,-1.3714,-1.2857,-1.3286,1.480000e+02,3.837037e-03,3.154025e-04
Kminus,-1.2857,-1.2000,-1.2429,2.100000e+02,5.444444e-03,3.757024e-04
Kminus,-1.2000,-1.1143,-1.1571,3.570000e+02,9.255556e-03,4.898559e-04
Kminus,-1.1143,-1.0286,-1.0714,5.660000e+02,1.467407e-02,6.167973e-04
Kminus,-1.0286,-0.9429,-0.9857,7.310000e+02,1.895185e-02,7.009596e-04
Kminus,-0.9429,-0.8571,-0.9000,1.009000e+03,2.615926e-02,8.235308e-04
Kminus,-0.8571,-0.7714,-0.8143,1.369000e+03,3.549259e-02,9.592593e-04
Kminus,-0.7714,-0.6857,-0.7286,1.761000e+03,4.565556e-02,1.087963e-03
Kminus,-0.6857,-0.6000,-0.6429,2.056000e+03,5.330370e-02,1.175563e-03
Kminus,-0.6000,-0.5143,-0.5571,2.391000e+03,6.198889e-02,1.267722e-03
Kminus,-0.5143,-0.4286,-0.4714,2.684000e+03,6.958519e-02,1.343153e-03
Kminus,-0.4286,-0.3429,-0.3857,2.977000e+03,7.718148e-02,1.414568e-03
Kminus,-0.3429,-0.2571,-0.3000,3.261000e+03,8.454444e-02,1.480504e-03
Kminus,-0.2571,-0.1714,-0.2143,3.563000e+03,9.237407e-02,1.547541e-03
Kminus,-0.1714,-0.0857,-0.1286,3.530000e+03,9.151852e-02,1.540358e-03
Kminus,-0.0857,0.0000,-0.0429,3.725000e+03,9.657407e-02,1.582331e-03
Kminus,0.0000,0.0857,0.0429,3.697000e+03,9.584815e-02,1.576373e-03
Kminus,0.0857,0.1714,0.1286,3.462000e+03,8.975556e-02,1.525449e-03
Kminus,0.1714,0.2571,0.2143,3.349000e+03,8.682593e-02,1.500347e-03
Kminus,0.2571,0.3429,0.3000,3.053000e+03,7.915185e-02,1.432510e-03
Kminus,0.3429,0.4286,0.3857,2.811000e+03,7.287778e-02,1.374563e-03
Kminus,0.4286,0.5143,0.4714,2.432000e+03,6.305185e-02,1.278545e-03
